15408,15232,15232,15264
15456,15152,15248,15280
15568,15376,15392,15424
15488,15312,15312,15360
15440,15248,15232,15296
15616,15360,15472,15472
15584,15296,15472,15472
15472,15344,15376,15344
15344,15200,15264,15232
15600,15392,15424,15488

::v ...wtf(01)
::15536,15216,15424,15424
15504,15280,15264,15296
15536,15376,15424,15376
15424,15264,15264,15296
15520,15344,15344,15376
15552,15344,15296,15344
15392,15216,15264,15264
15472,15232,15248,15296
15504,15296,15392,15408
15632,15424,15472,15488

::v ...wtf(01)
::15456,15216,15248,15280
15632,15360,15472,15504
15504,15248,15312,15344
15648,15456,15456,15472
15456,15232,15264,15328
15600,15376,15424,15440
15568,15264,15408,15392
15424,15216,15232,15280
15568,15392,15344,15456
15568,15392,15360,15456

::v ...wtf(01)
::15648,15456,15440,15488
15536,15344,15392,15504
15456,15296,15264,15232
15504,15328,15328,15376
15312,15216,15248,15248
15424,15184,15248,15296
15600,15360,15392,15456
15312,15216,15264,15264
15536,15360,15392,15376
15616,15440,15440,15456

::v ...wtf(01)
::15568,15376,15440,15456
15600,15408,15424,15472
15504,15328,15264,15360
15408,15200,15200,15264
15488,15264,15344,15296
15568,15440,15392,15472
15616,15392,15248,15424
15536,15344,15328,15344
15600,15440,15456,15456
15568,15408,15520,15472

::15616,15408,15440,15456
15600,15424,15424,15456
15584,15360,15408,15456
15424,15216,15280,15280
15552,15392,15376,15408
v ...wtf(01)
::15632,15408,15408,15456
15488,15296,15328,15344
15472,15280,15200,15408
15376,15248,15232,15232
15536,15344,15344,15312
15584,15392,15424,15472
15520,15344,15408,15456
15328,15232,15232,15264
15600,15424,15424,15328
15504,15344,15280,15328
15408,15232,15264,15248
15632,15440,15488,15488
15392,15216,15248,15264
15600,15328,15472,15472
15600,15440,15456,15456
15568,15424,15376,15408
15648,15424,15408,15472
15536,15344,15360,15424
15424,15200,15216,15184
15584,15392,15456,15440
15632,15440,15456,15504
15392,15232,15232,15264
15504,15344,15392,15424
15584,15392,15408,15440
15456,15280,15280,15328
15648,15424,15440,15472
15424,15312,15296,15328
15536,15408,15376,15408
15552,15328,15376,15392
15408,15216,15264,15264
15536,15392,15408,15408
15504,15328,15408,15424
15392,15216,15248,15248
15392,15184,15264,15280
15440,15456,15424,15424
15408,15216,15248,15216
15536,15328,15296,15344
15520,15296,15376,15392
15536,15312,15328,15328
15584,15376,15424,15472
15632,15408,15392,15456
15488,15312,15312,15312
15392,15248,15216,15232
15568,15408,15440,15440
15456,15312,15328,15328
15424,15248,15248,15264
15648,15424,15472,15456
15520,15376,15344,15360
15440,15264,15280,15264
15488,15264,15296,15344
15392,15200,15232,15280
15488,15296,15296,15328
15552,15360,15392,15392
15552,15376,15344,15312
15600,15376,15408,15456
15392,15232,15248,15248
15632,15440,15456,15504
15376,15264,15280,15280
15520,15328,15296,15344
15392,15136,15280,15280
15632,15392,15440,15472
15456,15280,15216,15328
15392,15216,15248,15264
15456,15232,15248,15232
15600,15408,15392,15440
15504,15312,15248,15296
15600,15392,15360,15440
15584,15392,15408,15504
15440,15296,15312,15328
15344,15232,15264,15248
15440,15296,15280,15296
15408,15232,15264,15264
15552,15408,15392,15392
15312,15200,15264,15184
15424,15200,15232,15264
15552,15376,15472,15472
15616,15408,15424,15472
15392,15232,15264,15088
15568,15312,15456,15552
15408,15216,15184,15280
15520,15376,15344,15392
15584,15392,15376,15392
15552,15408,15392,15408
15616,15456,15456,15504
15424,15216,15248,15296
15472,15296,15344,15344
15552,15408,15376,15328
15664,15440,15456,15504
15536,15280,15344,15360
15408,15248,15232,15264
15392,15088,15264,15312
15584,15408,15424,15440
15488,15296,15360,15376
15520,15280,15376,15408
15552,15424,15440,15456
15392,15200,15264,15248
15568,15408,15408,15424
15616,15312,15488,15472
15584,15376,15392,15408
15392,15216,15232,15296
15408,15232,15216,15264
