
>
>v 1 Jul 11 2014, <C1459854>
>a 46848,15392,15136,15232
>a 46928,15408,15184,15088
>a 46896,15408,15280,15216
>a 46944,15488,15184,15232
>a 46848,15488,15200,15216
>a 46912,15408,15168,15232
>a 46880,15344,15104,15216
>a 46928,15504,15184,15200
>a 46896,15392,15280,15248
>a 46880,15344,15280,15152
>a 46896,15392,15200,15216
>a 46896,15536,15168,15184
>a 46896,15392,15184,15216
>a 46928,15392,15200,15216
>a 46928,15456,15152,15216
>a 46960,15408,15120,15200
>a 46992,15392,15200,15248
>a 46928,15424,15184,15216
>a 46960,15344,15120,15216
>a 46896,15472,15120,15280
>a 46832,15376,15200,15232
>a 46864,15408,15200,15200
>a 46896,15408,15184,15088
>a 46912,15344,15184,15152
>a 46848,15344,15184,15264
>a 46832,15408,15168,15216
>a 46960,15408,15328,15216
>a 46896,15392,15136,15216
>a 46912,15392,15168,15200
>a 46912,15376,15248,15200
>a 46976,15408,15184,15184
>a 46896,15424,15216,15392
>a 46896,15408,15184,15120
>a 46800,15376,15200,15168
>a 46864,15408,15200,15248
>a 46896,15408,15136,15360
>a 46864,15360,15168,15280
>a 46928,15408,15184,15296
>a 47008,15408,15184,15216
>a 46896,15392,15152,15216
>a 46896,15376,15184,15232
>a 46928,15424,15184,15328
>a 46896,15312,15120,15136
>a 46896,15408,15264,15216
>a 46848,15376,15168,15152
>a 46848,15376,15072,15216
>a 46960,15408,15184,15216
>a 46960,15392,15216,15232
>a 46864,15376,15184,15184
>a 46880,15440,15168,15200
>a 46816,15344,15184,15216
>a 46960,15424,15184,15392
>a 46896,15312,15184,15216
>a 46992,15408,15280,15168
>a 46864,15344,15168,15216
>a 47024,15408,15056,15184
>a 46832,15392,15168,15184
>a 46992,15408,15184,15216
>a 46816,15392,15264,15216
>a 46896,15344,15200,15280
>a 46880,15376,15152,15056
>a 46880,15440,15216,15312
>a 46848,15344,15184,15248
>a 46880,15376,15184,15296
>a 46928,15392,15200,15120
>a 46768,15344,15184,15232
>a 46864,15504,15200,15200
>a 46912,15408,15200,15248
>a 46912,15376,15184,15152
>a 46880,15392,15120,15200
>a 46848,15440,15200,15232
>a 46848,15376,15232,15200
>a 46912,15488,15168,15232
>a 46880,15616,15184,15184
>a 46880,15408,15200,15216
>a 46848,15328,15088,15200
>a 46896,15440,15168,15216
>a 46896,15376,15184,15232
>a 46880,15408,15168,15312
>a 46864,15328,15168,15088
>a 46880,15360,15184,15184
>a 46800,15392,15168,15200
>a 46864,15376,15136,15216
>a 46864,15392,15200,15280
>a 46848,15376,15152,15168
>a 46864,15408,15200,15216
>a 46960,15392,15136,15200
>a 46896,15376,15200,15216
>a 46864,15248,15120,15184
>a 46768,15392,15152,15296
>a 46928,15424,15200,15216
>a 46848,15376,15152,15152
>a 46848,15440,15184,15184
>a 46896,15488,15120,15168
>a 46896,15408,15168,15200
>a 46928,15392,15184,15264
>a 46896,15408,15184,15232
>a 46880,15344,15152,15216
>a 46848,15488,15264,15168
>a 46800,15360,15168,15184
>a 46944,15408,15088,15200
>a 46928,15408,15216,15168
>a 46816,15424,15200,15200
>a 46880,15392,15232,15200
>a 46944,15392,15216,15216
>a 46880,15456,15200,15216
>a 46848,15568,15168,15072
>a 46880,15344,15184,15232
>a 46880,15472,15168,15200
>a 46832,15296,15184,15216
>a 46880,15408,15280,15168
>a 46896,15344,15216,15216
>a 46864,15408,15216,15232
>a 46896,15408,15184,15248
>a 46832,15376,15152,15248
>a 46896,15408,15216,15216
>a 46880,15328,15184,15216
>a 46864,15376,15184,15104
>a 46864,15408,15120,15200
>a 46896,15392,15136,15200
>a 46832,15472,15120,15152
>a 46848,15344,15216,15152
>a 46880,15408,15136,15216
>a 46864,15408,15168,15264
>a 46880,15408,15152,15168
>a 46864,15344,15200,15184
>a 46864,15344,15184,15232
>a 46896,15408,15200,15216
>a 46800,15504,15248,15232
>a 46848,15392,15152,15200
>a 46784,15392,15120,15216
>a 46816,15408,15152,15200
>a 46848,15344,15200,15216
>a 46800,15376,15152,15296
>a 46864,15408,15200,15232
>a 46848,15392,15152,15280
>a 46832,15376,15136,15184
>a 46864,15392,15136,15216
>a 46816,15376,15200,15232
>a 46800,15392,15152,15200
>a 46848,15408,15088,15248
>a 46688,15344,15184,15216
>a 46880,15600,15184,15280
>a 46896,15344,15152,15120
>a 46832,15408,15184,15280
>a 46896,15504,15280,15328
>a 46864,15408,15136,15216
>a 46960,15360,15168,15152
>a 46832,15392,15184,15184
>a 46800,15376,15136,15216
>a 46912,15392,15216,15184
>a 46832,15440,15152,15232
>a 46864,15344,15184,15200
>a 46864,15424,15184,15200
>a 46816,15392,15168,15216
>a 46880,15376,15152,15328
>a 46896,15376,15152,15216
>a 46880,15504,15200,15216
>a 46848,15472,15152,15184
>a 46832,15472,15168,15136
>a 46848,15376,15168,15232
>a 46800,15392,15248,15088
>a 46896,15408,15184,15280
>a 46864,15408,15152,15152
>a 46896,15392,15216,15232
>a 46848,15408,15120,15200
>a 46832,15376,15136,15200
>a 46864,15392,15184,15216
>a 46832,15376,15168,15216
>a 46848,15488,15280,15200
>a 46800,15488,15184,15216
>a 46912,15344,15136,15184
>a 46768,15408,15168,15200
>a 46736,15392,15184,15200
>a 46944,15376,15184,15072
>a 46736,15376,15216,15216
>a 46848,15408,15168,15184
>a 46768,15376,15184,15216
>a 46864,15344,15184,15200
>a 46928,15392,15264,15200
>a 46832,15392,15200,15280
>a 46672,15392,15152,15136
>a 46768,15488,15216,15200
>a 46848,15408,15184,15152
>a 46816,15408,15200,15328
>a 46912,15360,15184,15200
>a 46800,15376,15168,15216
>a 46784,15344,15088,15184
>a 46864,15408,15200,15200
>a 46864,15472,15184,15200
>a 46832,15408,15344,15184
>a 46848,15344,15184,15200
>a 46816,15408,15168,15152
>a 46768,15392,15264,15168
>a 46832,15392,15200,15216
>a 46816,15216,15184,15216
>a 46896,15472,15184,15200
>a 46880,15392,15136,15216
>a 46848,15392,15136,15216
>a 46848,15344,15152,15216
>a 46832,15456,15184,15232
>a 46832,15392,15280,15200
>a 46752,15344,15184,15328
>a 46864,15408,15168,15216
>a 46896,15472,15184,15152
>a 46864,15408,15200,15312
>a 46832,15392,15152,15184
>a 46768,15296,15152,15296
>a 46832,15408,15200,15232
>a 46928,15344,15200,15216
>a 46832,15408,15184,15216
>a 46848,15344,15200,15216
>a 46880,15392,15184,15216
>a 46896,15312,15184,15200
>a 46864,15408,15184,15216
>a 46864,15376,15152,15184
>a 46832,15392,15168,15184
>a 46832,15376,15120,15184
>a 46944,15408,15136,15216
>a 46816,15408,15152,15184
>a 46832,15376,15264,15168
>a 46832,15472,15184,15216
>a 46832,15424,15152,15152
>a 46832,15408,15184,15296
>a 46784,15328,15200,15216
>a 46832,15488,15184,15040
