
>v 1 Jul 11 2014, <C1459854>
>a 15808,15200,15312,15216
>a 15712,15216,15296,15200
>a 15712,15200,15312,15232
>a 15696,15200,15280,15248
>a 15600,15168,15264,15200
>a 15696,15168,15344,15248
>a 15760,15136,15296,15232
>a 15680,15280,15344,15168
>a 15696,15200,15280,15184
>a 15632,15200,15280,15344
>a 15664,15168,15184,15296
>a 15632,15184,15232,15184
>a 15696,15184,15232,15216
>a 15584,15136,15264,15312
>a 15664,15136,15248,15216
>a 15664,15152,15120,15200
>a 15616,15152,15248,15248
>a 15664,15200,15280,15392
>a 15664,15152,15248,15200
>a 15632,15200,15280,15216
>a 15600,15184,15280,15216
>a 15664,15200,15344,15200
>a 15616,15152,15312,15216
>a 15712,15184,15344,15232
>a 15568,15184,15248,15216
>
