
>
>v 1 Jul 11 2014, <C1459854>
>a 46368,15328,46176,15488
>a 46384,15392,46208,15424
>a 46384,15408,46176,15392
>a 46320,15392,46112,15408
>a 46384,15376,46192,15520
>a 46352,15376,46144,15360
>a 46352,15392,46128,15392
>a 46368,15504,46144,15440
>a 46384,15456,46128,15392
>a 46352,15296,46128,15344
>a 46352,15328,46112,15344
>a 46384,15360,46096,15408
>a 46288,15376,46128,15408
>a 46352,15376,46128,15408
>a 46352,15360,46096,15440
>a 46336,15376,46144,15408
>a 46368,15360,46112,15408
>a 46352,15280,46096,15440
>a 46384,15488,46160,15392
>a 46384,15248,46048,15408
>a 46320,15344,46224,15440
>a 46384,15392,46128,15440
>a 46384,15392,46112,15520
>a 46304,15376,46176,15408
>a 46304,15360,46192,15408
>a 46352,15488,46096,15440
>a 46384,15408,46112,15488
>a 46352,15392,46144,15504
>a 46384,15376,46192,15424
>a 46384,15328,46160,15408
>a 46400,15280,46160,15408
>a 46336,15392,46112,15424
>a 46368,15504,46128,15488
>a 46368,15344,46112,15456
>a 46368,15360,46112,15376
>a 46352,15392,46128,15488
>a 46416,15392,46208,15408
>a 46368,15392,46096,15424
>a 46368,15520,46128,15440
>a 46384,15408,46112,15600
>a 46368,15456,46112,15408
>a 46368,15328,46128,15424
>a 46368,15344,46112,15408
>a 46416,15392,46128,15504
>a 46336,15312,46096,15472
>a 46384,15392,46128,15312
>a 46384,15408,46144,15440
>a 46400,15520,46096,15408
>a 46384,15376,46112,15424
>a 46352,15344,46128,15408
>a 46416,15408,46080,15392
>a 46336,15376,46112,15456
>a 46448,15408,46048,15440
>a 46368,15376,46128,15424
>a 46400,15392,46128,15408
>a 46336,15376,46112,15424
>a 46496,15392,46160,15424
>a 46352,15376,46064,15520
>a 46352,15376,46112,15504
>a 46352,15472,46096,15376
>a 46336,15408,46032,15408
>a 46448,15424,46160,15408
>p 7,0
>a 46368,15360,46128,15440
>a 46304,15408,46160,15456
>a 46368,15344,46128,15520
>a 46448,15392,46112,15408
>a 46352,15392,46128,15408
>a 46368,15392,46128,15440
>p 7,0
>a 46352,15392,46112,15408
>a 46368,15184,46160,15440
>a 46384,15344,46128,15408
>a 46368,15392,46128,15440
>a 46352,15392,46064,15392
>a 46384,15392,46128,15472
>a 46384,15408,46160,15504
>a 46352,15392,46160,15440
>a 46336,15424,46128,15456
>a 46352,15344,46064,15472
>a 46368,15408,46160,15440
>a 46352,15392,46144,15424
>a 46448,15408,46048,15408
>a 46352,15440,46144,15408
>a 46368,15472,46144,15392
>a 46336,15392,46112,15456
>a 46336,15360,46096,15392
>a 46384,15344,46144,15424
>a 46352,15584,46128,15408
>a 46352,15408,46144,15504
>a 46432,15472,46128,15424
>a 46352,15392,46208,15408
>a 46448,15328,46064,15408
>a 46368,15328,46096,15424
>a 46368,15344,46064,15408
>a 46336,15392,46160,15392
>a 46352,15312,46144,15408
>a 46352,15360,46112,15408
>a 46320,15392,46112,15392
>a 46416,15488,46160,15440
>
