
>
>v 1 Jul 11 2014, <C1459854>
>a 52960,15424,52784,15488
>a 52976,15440,52768,15456
>a 53008,15472,52784,15440
>a 53040,15440,52800,15472
>a 52960,15424,52736,15440
>a 53024,15392,52752,15456
>a 52992,15536,52800,15488
>a 53008,15440,52816,15472
>a 53024,15552,52752,15440
>a 52976,15376,52784,15472
>a 53008,15456,52816,15472
>a 53008,15440,52768,15456
>a 53008,15440,52720,15472
>a 53104,15408,52768,15408
>a 53088,15440,52848,15472
>a 53024,15424,52816,15488
>a 52976,15408,52784,15440
>a 52976,15408,52784,15456
>a 53040,15440,52752,15424
>a 53040,15440,52784,15456
>a 53008,15424,52816,15456
>a 52976,15408,52784,15584
>a 53056,15488,52784,15456
>a 53040,15424,52720,15456
>a 53056,15440,52800,15408
>a 53024,15456,52784,15408
>a 52976,15456,52784,15472
>a 53008,15536,52784,15472
>a 53008,15408,52720,15440
>a 53040,15456,52768,15536
>a 53040,15424,52752,15440
>a 53040,15456,52816,15488
>a 53008,15408,52688,15408
>a 52992,15440,52768,15472
>a 52976,15456,52784,15456
>a 53024,15392,52768,15472
>a 53104,15456,52720,15472
>a 53040,15424,52816,15456
>a 53040,15360,52832,15456
>a 53008,15440,52784,15536
>a 53008,15408,52784,15488
>
