
>v 1 Jul 11 2014, <C1459854>
>a 38624,15328,38400,15376
>a 38608,15456,38432,15376
>a 38656,15344,38368,15344
>a 38576,15264,38352,15376
>a 38752,15312,38432,15392
>a 38560,15424,38432,15408
>a 38704,15424,38416,15440
>a 38656,15344,38416,15392
>a 38560,15328,38448,15408
>a 38608,15280,38448,15344
>a 38592,15328,38384,15408
>a 38544,15376,38400,15392
>a 38656,15344,38416,15344
>a 38640,15344,38336,15376
>a 38608,15328,38400,15472
>a 38656,15360,38368,15392
>a 38640,15344,38432,15376
>a 38656,15344,38416,15408
>a 38688,15344,38480,15344
>a 38624,15440,38400,15392
>a 38656,15264,38448,15392
>a 38624,15456,38400,15344
>a 38656,15344,38528,15392
>a 38736,15344,38400,15344
>a 38608,15360,38384,15376
>a 38608,15328,38448,15408
>a 38672,15312,38416,15360
>a 38608,15344,38352,15376
>a 38608,15344,38400,15456
>a 38656,15344,38416,15392
>a 38656,15360,38320,15376
>a 38512,15344,38432,15408
>a 38608,15344,38416,15248
>a 38640,15344,38352,15360
>a 38736,15344,38416,15376
>a 38608,15344,38448,15456
>a 38656,15344,38352,15392
>a 38656,15456,38432,15456
>a 38688,15360,38432,15376
>a 38608,15440,38416,15328
>a 38704,15312,38352,15344
>a 38656,15392,38416,15376
>a 38592,15344,38384,15344
>a 38624,15344,38384,15376
>a 38624,15344,38384,15344
>a 38640,15312,38384,15376
>a 38640,15344,38320,15392
>a 38656,15440,38384,15312
>a 38624,15456,38384,15376
>a 38608,15424,38384,15376
>a 38608,15344,38352,15344
>a 38688,15312,38368,15344
>a 38608,15344,38432,15344
>a 38608,15136,38416,15360
>a 38752,15344,38496,15376
>a 38704,15344,38416,15376
>a 38608,15344,38384,15376
>a 38624,15360,38384,15344
>a 38608,15408,38400,15344
>a 38608,15344,38416,15408
>a 38656,15280,38432,15408
>a 38704,15360,38384,15216
>a 38752,15456,38416,15376
>a 38640,15344,38432,15408
>a 38656,15376,38432,15408
>a 38672,15408,38400,15392
>a 38576,15392,38384,15328
>a 38672,15408,38416,15408
>a 38656,15376,38416,15408
>a 38544,15328,38384,15392
>a 38640,15344,38432,15408
>a 38640,15344,38400,15328
>a 38656,15296,38400,15376
>a 38656,15264,38400,15376
>a 38592,15376,38432,15392
>a 38656,15328,38416,15328
>a 38624,15344,38464,15376
>a 38672,15456,38400,15392
>a 38656,15360,38352,15392
>a 38672,15344,38416,15328
>a 38608,15376,38448,15376
>a 38640,15440,38512,15392
>a 38656,15344,38432,15360
>a 38656,15424,38432,15376
>a 38624,15344,38464,15376
>a 38640,15344,38400,15312
>a 38656,15424,38416,15376
>a 38656,15344,38400,15440
>a 38624,15344,38416,15376
>a 38640,15392,38416,15392
>a 38608,15344,38432,15344
>a 38656,15360,38416,15392
>a 38512,15344,38416,15472
>a 38640,15344,38432,15376
>a 38608,15440,38416,15424
>a 38640,15344,38368,15344
>a 38608,15424,38432,15408
>a 38672,15344,38400,15344
>a 38608,15424,38384,15376
>a 38576,15344,38384,15392
>a 38704,15344,38416,15392
>a 38640,15344,38368,15408
>a 38624,15312,38384,15344
>a 38608,15312,38384,15472
>a 38608,15328,38368,15376
>a 38608,15344,38384,15392
>a 38624,15376,38432,15472
>a 38656,15376,38432,15408
>a 38608,15344,38400,15424
>a 38608,15456,38400,15328
>a 38688,15360,38448,15392
>a 38608,15312,38384,15392
>a 38608,15328,38400,15392
>a 38624,15392,38384,15472
>a 38656,15344,38480,15424
>a 38640,15344,38448,15472
>a 38640,15504,38448,15392
>a 38624,15344,38336,15344
>a 38624,15456,38384,15376
>a 38656,15344,38416,15280
>a 38640,15344,38336,15408
>a 38608,15360,38480,15392
>a 38624,15344,38384,15296
>a 38608,15344,38432,15472
>a 38496,15344,38384,15344
>a 38576,15280,38512,15216
>a 38672,15376,38384,15392
>a 38656,15440,38480,15392
>a 38480,15328,38416,15344
>a 38560,15312,38448,15408
>a 38624,15264,38432,15520
>a 38640,15312,38384,15344
>a 38576,15328,38368,15360
>a 38656,15344,38368,15360
>a 38656,15344,38512,15392
>a 38560,15344,38448,15456
>a 38640,15376,38416,15376
>a 38624,15200,38368,15376
>a 38640,15424,38416,15408
>a 38640,15344,38336,15392
>a 38624,15376,38416,15344
>a 38640,15360,38400,15392
>a 38640,15440,38304,15408
>a 38624,15328,38432,15408
>a 38640,15264,38416,15424
>a 38640,15344,38384,15392
>a 38624,15280,38368,15392
>a 38656,15376,38384,15392
>a 38608,15280,38384,15344
>a 38608,15328,38368,15408
>a 38672,15312,38480,15392
>a 38672,15344,38416,15440
>a 38640,15296,38400,15360
>a 38656,15344,38512,15408
>a 38736,15248,38416,15344
>a 38640,15360,38384,15392
>a 38592,15296,38448,15392
>a 38592,15344,38448,15376
>a 38608,15392,38416,15344
>a 38640,15344,38432,15376
>a 38640,15344,38416,15376
>a 38624,15344,38432,15392
>a 38640,15376,38480,15408
>a 38640,15376,38368,15392
>a 38640,15344,38432,15344
>a 38624,15392,38416,15312
>a 38576,15296,38464,15360
>a 38624,15376,38432,15392
>a 38480,15344,38464,15392
>a 38736,15440,38432,15392
>a 38656,15344,38432,15344
>a 38624,15376,38352,15360
>a 38656,15344,38384,15376
>a 38624,15376,38400,15376
>a 38640,15312,38368,15408
>a 38640,15344,38400,15408
>a 38624,15424,38416,15392
>a 38720,15280,38416,15408
>a 38704,15344,38480,15344
>a 38640,15296,38416,15456
>a 38624,15344,38432,15376
>a 38608,15344,38304,15344
>a 38656,15376,38304,15392
>a 38592,15344,38400,15392
>a 38608,15504,38400,15344
>a 38576,15376,38432,15392
>a 38624,15328,38416,15392
>a 38752,15440,38416,15344
>a 38576,15344,38400,15344
>a 38608,15424,38416,15472
>a 38624,15344,38400,15376
>a 38640,15328,38448,15344
>a 38608,15328,38368,15376
>a 38656,15408,38400,15472
>a 38672,15344,38320,15392
>a 38640,15376,38416,15376
>a 38544,15344,38384,15488
>a 38608,15168,38416,15392
>a 38672,15344,38416,15392
>a 38656,15344,38336,15392
>a 38608,15328,38320,15408
>a 38656,15360,38400,15408
>a 38672,15312,38416,15360
>a 38656,15344,38432,15424
>a 38640,15440,38448,15392
>a 38656,15328,38432,15376
>a 38624,15344,38416,15392
>a 38624,15360,38432,15344
>a 38576,15280,38368,15456
>a 38672,15376,38464,15424
>a 38608,15328,38400,15424
>a 38576,15344,38448,15408
>a 38608,15328,38400,15392
>a 38624,15328,38384,15328
>a 38656,15344,38416,15328
>a 38592,15344,38352,15344
>a 38608,15344,38432,15408
>a 38656,15344,38384,15392
>a 38624,15344,38416,15344
>a 38624,15344,38432,15344
>a 38640,15344,38416,15408
>a 38640,15328,38288,15344
>a 38656,15344,38432,15392
>a 38592,15344,38416,15392
>a 38576,15312,38304,15408
>a 38640,15344,38480,15392
>a 38704,15344,38352,15392
>a 38688,15344,38368,15440
>a 38656,15344,38448,15392
>a 38656,15344,38416,15472
>a 38656,15312,38448,15408
>a 38704,15344,38400,15344
>a 38624,15456,38416,15376
>a 38640,15376,38416,15392
>a 38752,15328,38384,15408
>a 38640,15328,38384,15392
>a 38672,15184,38448,15344
>a 38624,15344,38384,15312
>a 38608,15344,38384,15376
>a 38640,15360,38384,15376
>a 38592,15328,38368,15328
>a 38608,15328,38368,15344
>a 38640,15312,38400,15424
>a 38656,15344,38416,15328
>a 38640,15344,38400,15456
>a 38608,15408,38400,15472
>a 38624,15328,38416,15408
>a 38656,15312,38432,15376
>a 38688,15344,38320,15408
>a 38576,15344,38320,15392
>a 38608,15328,38400,15472
>a 38640,15344,38352,15360
>a 38576,15344,38384,15312
>a 38640,15440,38416,15392
>a 38640,15376,38352,15376
>a 38736,15456,38352,15440
>a 38592,15344,38384,15392
>a 38656,15344,38400,15376
>a 38640,15360,38368,15392
>a 38608,15312,38400,15376
>a 38608,15312,38480,15344
>a 38592,15424,38432,15408
>a 38656,15360,38416,15328
>a 38672,15360,38416,15376
>a 38656,15344,38512,15376
>
