
>
>
>v 1 Jul 11 2014, <C1459854>
>a 15568,15152,15200,15216
>a 15360,15216,15184,15216
>a 15536,15200,15200,15200
>a 15440,15200,15168,15216
>a 15424,15184,15248,15136
>a 15408,15168,15136,15200
>a 15376,15280,15184,15200
>a 15424,15152,15184,15232
>a 15424,15168,15184,15216
>a 15440,15248,15184,15216
>a 15472,15152,15200,15280
>a 15408,15200,15184,15328
>a 15280,15136,15152,15232
>a 15440,15280,15296,15248
>a 15440,15152,15024,15184
>a 15424,15200,15168,15200
>a 15424,15200,15152,15312
>a 15408,15200,15152,15312
>a 15408,15184,15120,15200
>a 15424,15184,15120,15184
>a 15424,15184,15184,15152
>a 15408,15136,15184,15216
>a 15424,15184,15248,15232
>a 15440,15200,15280,15296
>a 15392,15152,15184,15216
>a 15424,15152,15184,15216
>a 15424,15136,15200,15296
>a 15440,15184,15152,15200
>a 15440,15248,15200,15184
>a 15424,15184,15104,15216
>a 15440,15168,15184,15280
>a 15408,15152,15168,15136
>a 15520,15264,15152,15184
>a 15408,15168,15168,15104
>a 15408,15264,15184,15216
>a 15392,15152,15152,15216
>a 15392,15136,15168,15200
>a 15344,15232,15184,15200
>a 15376,15168,15200,15232
>a 15600,15184,15184,15232
>a 15488,15200,15248,15216
>a 15456,15152,15184,15200
>a 15520,15216,15200,15232
>a 15536,15184,15216,15168
>a 15648,15168,15312,15232
>a 15744,15184,15216,15200
>a 15856,15168,15248,15280
>a 16176,15168,15280,15216
>a 16656,15184,15328,15200
>a 17232,15168,15392,15168
>a 17840,15168,15504,15184
>a 18352,15216,15488,15216
>a 18768,15152,15600,15360
>a 19264,15328,15568,15152
>a 19520,15248,15664,15216
>a 20080,15248,15712,15232
>a 20512,15216,15744,15216
>a 20768,15216,15760,15248
>a 21168,15264,15904,15264
>a 21520,15216,15984,15232
>a 21808,15264,16048,15200
>a 22304,15264,16016,15216
>a 22624,15360,16112,15216
>a 22944,15248,16192,15216
>a 23280,15216,16240,15232
>a 23696,15376,16336,15248
>a 24032,15168,16416,15216
>a 24480,15312,16496,15232
>a 24688,15328,16528,15344
>a 25152,15328,16592,15216
>a 25360,15328,16608,15200
>a 25680,15392,16560,15184
>a 25984,15344,16656,15264
>a 26320,15280,16800,15216
>a 26672,15280,16944,15248
>a 26944,15280,16960,15248
>a 27264,15344,16960,15248
>a 27568,15456,17056,15264
>a 27904,15344,17136,15216
>a 28160,15392,17152,15232
>a 28464,15392,17232,15248
>a 28720,15376,17264,15232
>a 28992,15408,17312,15248
>a 29280,15376,17424,15312
>a 29584,15424,17488,15232
>a 29808,15392,17536,15216
>a 30160,15424,17632,15248
>a 30432,15344,17664,15248
